Fecha Último Apert.  Dif. Máx. Mín. Volumen
23/6/14 564.95 555 1.3  565 554.3 614018
20/6/14 557.57 556.85 0.5  557.58 550.5 2430499
19/6/14 554.9 553.87 0.3  554.95 548.56 740646
18/6/14 553.37 544.86 1.9  553.56 544 628538
17/6/14 543.01 544.2 -0.2  545.21 539.47 462551
16/6/14 544.28 549.26 -1.4  549.6 541.52 601721
13/6/14 551.76 552.26 0.1  552.26 545.61 429199
12/6/14 551.35 557.4 -1.3  557.49 548.57 473218
11/6/14 558.58 558 -0.4  559.82 555.19 326482
10/6/14 560.55 560.51 -0.3  563.57 558 534981
9/6/14 562.12 557.15 1.0  562.84 556.14 429159
6/6/14 556.33 558.06 0.4  558.06 548.93 638902
5/6/14 553.9 545.3 1.7  554.93 544.66 545083
4/6/14 544.66 541.5 -0.1  548.61 538.75 489673
3/6/14 544.94 550.99 -1.6  552.21 542.55 545623
2/6/14 553.93 560.03 -1.3  560.25 545.89 481153
30/5/14 560.98 560.8 0.2  561.33 556 708634
29/5/14 560.08 563.35 -0.3  563.92 558.9 442973
28/5/14 561.68 564.57 -0.8  567.84 561 491005
27/5/14 565.95 556.81 2.4  565.96 554.62 688371
23/5/14 552.7 547.26 1.4  553.6 543.7 702170
22/5/14 545.06 541.13 1.1  547.53 540.78 477384
21/5/14 538.94 532.9 1.7  539.18 531.91 383749
20/5/14 529.77 529.74 0.2  536.18 526.34 598310
19/5/14 528.86 519.7 1.6  529.72 517.68 401239
16/5/14 520.63 521.55 0.1  521.67 515.47 546991
15/5/14 519.98 525.7 -1.3  525.87 517.5 585773
14/5/14 526.65 531.95 -1.2  532.94 525.3 340923
13/5/14 533.09 530.45 0.6  536 529.82 443832
12/5/14 529.92 523.51 2.1  530.17 519.04 555149
9/5/14 519.03 510.75 1.6  519.89 504.42 639625
8/5/14 511 508.46 0.2  517.23 506.45 552313
7/5/14 509.96 515.17 -1.0  516.39 503.3 853283
6/5/14 515.14 525.25 -2.4  526.36 515.11 504633
5/5/14 527.81 524.73 -0.0  528.82 521.45 281884
2/5/14 527.93 533.76 -0.6  533.76 525.66 573151
1/5/14 531.35 527.53 0.9  532.83 524 513522
30/4/14 526.66 527.6 -0.2  527.99 522.55 527131
29/4/14 527.7 517 2.0  529.4 516.37 804647
28/4/14 517.15 517.21 0.2  518.36 502.8 884161
25/4/14 516.18 522.51 -1.7  524.4 515.42 571526
24/4/14 525.16 530.01 -0.3  531.5 522.15 521344
23/4/14 526.94 533.79 -1.5  533.8 526.25 509273
22/4/14 534.81 528.64 1.2  537.23 527.59 681841
21/4/14 528.62 536.1 -1.4  536.7 525.6 772493
17/4/14 536.1 548.81 -3.7  549.41 531.19 1811923
16/4/14 556.54 542.76 3.7  556.91 540.12 1227349
15/4/14 536.44 537.25 0.7  538.45 518.68 978093
14/4/14 532.52 538 0.4  544.07 529.6 761470
11/4/14 530.6 532.54 -1.9  539.99 526.8 1132909
10/4/14 540.95 564.99 -4.1  565 539.9 1434279
9/4/14 564.14 559.62 1.7  565.37 552.95 1067727
8/4/14 554.9 542.48 3.1  555 541.8 953383
7/4/14 538.15 540.74 -0.9  548.43 527.15 1380778
4/4/14 543.14 574.65 -4.7  576.44 543.02 1997104
3/4/14 569.74 569.85 0.5  587.28 564.24 1312258
2/4/14 567.55 570.95 0.0  572.4 562.3 1381732
1/4/14 567.45 560.14 1.8  568.7 559 1163270
31/3/14 557.26 565.35 -0.5  567.49 556.5 1322608
28/3/14 560.08 559.5 0.5  566.47 559.01 1393926
27/3/14 557.14 565.75 -1.6  565.86 551.29 2055436
26/3/14 565.99 581.01 -2.3  585.61 565.9 1527744
25/3/14 579.36 582.95 0.1  584.77 573.5 1452944
24/3/14 578.97 592.35 -2.1  592.4 572.98 1883202
21/3/14 591.52 604.82 -1.2  604.82 591.27 3036294
20/3/14 598.58 599.98 -0.2  604.75 597.76 1182032
19/3/14 599.63 605.9 -1.0  606 597.5 1034820
18/3/14 605.73 597.34 1.6  605.77 596.74 1205434
17/3/14 596.05 589.63 1.6  598.5 589.1 1268142
14/3/14 586.4 591.06 -1.4  595.09 586.27 1360830
13/3/14 594.53 604.13 -1.5  605.13 592.48 1349968
12/3/14 603.65 597.36 0.6  603.91 592.17 1204934
11/3/14 600 606.52 -1.0  607.02 598.33 1002076
10/3/14 605.79 607.91 -0.3  608.76 602.23 834156
7/3/14 607.4 613.2 -0.4  613.35 605.74 947222
6/3/14 609.81 611.16 0.1  613.05 609.3 778316
5/3/14 609.13 607.53 0.3  611.54 605.81 739646
4/3/14 607.46 607.5 1.0  607.78 604.78 999264
3/3/14 601.35 603.38 -1.1  603.8 596.17 1312088
28/2/14 607.83 610.17 -0.3  612 603.21 1541666
27/2/14 609.61 609.2 -0.1  612.04 608.64 871284
26/2/14 610.09 612 0.0  614.44 607.07 1322386
25/2/14 610 607.5 0.6  612.16 605.23 973496
24/2/14 606.26 602.63 0.7  610 602.55 1149990
21/2/14 601.9 603.91 -0.0  604.07 601.45 1489700
20/2/14 602.06 602 0.1  603.44 600.15 1200800
19/2/14 601.42 602.65 -0.7  604.58 598.76 1420496
18/2/14 605.44 600.75 0.7  606.39 600.01 1782708
14/2/14 601.4 597.56 0.2  602.2 596.41 1458170
13/2/14 599.95 590.38 1.1  599.95 589.84 1262838
12/2/14 593.35 594.5 -0.3  594.95 590.71 1126234
11/2/14 595.09 590.01 1.5  595.87 586.37 1390028
10/2/14 586.47 585.9 -0.4  591.15 584.56 1269412
7/2/14 588.72 583.82 1.5  588.72 580.5 1665864
6/2/14 579.98 575.05 1.5  580.08 573.87 1274982
5/2/14 571.6 572.13 0.4  575.39 564.22 1415474
4/2/14 569.08 568.56 0.4  577.44 568.51 1709664
3/2/14 566.72 589.38 -4.0  590.73 566.07 2500776
31/1/14 590.49 585.68 4.2  593.26 575.59 3353708
30/1/14 566.76 572.44 2.4  576.21 563.63 2713846
29/1/14 553.46 559.56 -1.4  560.78 549.78 1503882
28/1/14 561.51 554.97 2.0  562.85 554.97 1449982
27/1/14 550.62 562.83 -2.0  563.23 541.51 2592022
24/1/14 561.61 576.51 -3.2  576.57 561.61 2631610
23/1/14 580.05 579.97 -0.4  581.24 577.21 1228850
22/1/14 582.51 583.3 0.1  583.8 579.46 1078274
21/1/14 581.85 580.35 1.1  582 575.7 1554140
17/1/14 575.27 578.43 -0.5  580.25 572.1 2536360
16/1/14 578.11 574.55 0.7  578.94 574 971374
15/1/14 574.31 576.5 -0.1  577.5 571.9 1221736
14/1/14 574.7 568.98 2.4  575.47 564.06 1505162
13/1/14 561.49 563.28 -0.6  573.32 558.64 1465224
10/1/14 565.09 569.54 -0.0  569.54 561.14 1342578
9/1/14 565.12 571.62 -1.0  571.95 562.86 1382882
8/1/14 570.62 573.66 0.2  573.66 566.76 1253584
7/1/14 569.28 562.49 1.9  569.83 560.67 1439056
6/1/14 558.66 556.51 1.1  559.35 553.32 1096342
3/1/14 552.5 557.5 -0.7  558.47 552.47 1162336
2/1/14 556.56 557.73 -0.7  558.87 554.23 1145790
31/12/13 560.36 556.12 1.0  560.5 553.24 895952
30/12/13 554.73 560.17 -0.8  560.17 554.52 800430
27/12/13 559.2 560 0.1  560.14 556.5 880508
26/12/13 558.73 557.01 0.5  559.47 554.38 657976
24/12/13 555.92 557.13 -0.3  557.62 554.1 477472
23/12/13 557.55 553.92 1.3  557.83 552.77 1128098
20/12/13 550.32 544.15 1.3  550.59 544.15 2818198
19/12/13 543.11 540.75 0.1  546 539.58 1018054
18/12/13 542.38 535.93 1.4  542.48 529.57 1307746
17/12/13 534.93 536.98 -0.3  540.33 534.31 917622
16/12/13 536.49 532 1.1  537.3 531.51 1045670
13/12/13 530.4 537.7 -0.9  538.03 528.96 1333116
12/12/13 534.98 539.79 -0.7  541.4 534.59 1025644
11/12/13 538.65 543.7 -0.7  545.59 537.59 1167364
10/12/13 542.33 538.08 0.6  546.15 538.08 984264
9/12/13 539.07 535.28 0.8  541.16 534.21 930092
6/12/13 534.94 534.91 1.2  535 530.07 921754
5/12/13 528.67 528.6 -0.1  529.72 525.55 723632
4/12/13 529.09 525.69 0.5  531.96 525.07 730298
3/12/13 526.63 525.48 -0.1  531.65 524.64 721650
2/12/13 527.24 531.76 -0.5  533 525.44 879186
29/11/13 529.8 531.82 -0.3  533.31 529.79 748488
27/11/13 531.56 530.63 0.4  533.98 530.13 599818
26/11/13 529.21 524.25 1.2  530.75 521.59 997754
25/11/13 522.97 518.58 1.4  526.5 517.75 1152072
22/11/13 515.95 516.71 -0.2  518.07 514.62 676352
21/11/13 517.04 513.5 1.2  519.11 513.28 643160
20/11/13 511.16 514.96 -0.3  516.64 510.3 597572
19/11/13 512.57 515.86 -0.6  517.32 511.58 570232
18/11/13 515.78 517.88 -0.2  524.33 514.69 952368
15/11/13 516.78 517.37 -0.2  518.73 515.25 975884
14/11/13 517.62 516.96 0.3  519.88 515.18 682310
13/11/13 516.24 503.38 2.0  516.43 503.25 1046362
12/11/13 505.89 503.85 0.1  508.78 502.5 816368
11/11/13 505.3 504.76 -0.5  507.9 504.07 724844
8/11/13 508.02 504.38 0.8  509.25 504.25 968424
7/11/13 503.98 511.31 -1.4  511.92 503.87 997738
6/11/13 511.38 512.8 0.1  513.39 507.76 595180
5/11/13 510.76 510.18 -0.4  515.83 508.88 650012
4/11/13 513 515.75 -0.1  516.18 511.03 645672
1/11/13 513.52 515.9 -0.3  517.66 512.55 731644
31/10/13 515.29 514.1 0.0  520.71 511.99 1053254
30/10/13 515.21 518.72 -0.6  518.76 513.07 831502
29/10/13 518.12 509.55 2.1  518.47 506.79 903288
28/10/13 507.5 507.6 -0.0  511.61 506.51 734668
25/10/13 507.6 514.41 -1.0  514.41 505.44 1321996
24/10/13 512.78 515.94 -0.6  520.18 512.5 1083914
23/10/13 515.73 500.5 2.4  517.34 500.37 1336974
22/10/13 503.5 502.5 0.4  506.48 497.93 1369074
21/10/13 501.64 505.73 -0.8  509.5 499.82 2112206
18/10/13 505.83 488.23 13.8  507.69 487.25 6945216
17/10/13 444.61 446.5 -1.0  448.41 442.95 2027194
16/10/13 448.91 442.98 1.8  449.17 442.18 1126764
15/10/13 441.01 437.88 0.7  442.82 437.01 797280
14/10/13 437.97 433.39 0.5  438.13 432.7 604232
11/10/13 436 433.02 0.4  436.63 432.74 734674
10/10/13 434.12 431.92 1.4  434.42 430.15 1487876
9/10/13 427.93 428.14 0.3  431.33 421.49 1735206
8/10/13 426.84 432.66 -1.4  432.99 425.82 1180310
7/10/13 432.87 433.73 -0.8  436.95 432.09 818186
4/10/13 436.18 438 -0.4  438.56 435 875868
3/10/13 438.05 444 -1.3  447.05 436.05 1425448
2/10/13 443.69 441.37 -0.0  444.57 438.91 841302
1/10/13 443.82 440.13 1.3  443.82 440.13 992482
30/9/13 437.96 435 -0.1  440.36 434.19 1479932
27/9/13 438.2 437.41 -0.2  438.76 435.66 733228
26/9/13 439.09 439.15 0.1  441.35 437.51 835268
25/9/13 438.62 443.28 -1.1  443.28 437.8 1020536
24/9/13 443.42 443.25 0.0  445.05 440.81 1028186
